Author,Poem,Anthology,Date
"Wright, Judith",To A Child,Wright 1956,1956
"Wright, Judith",Woman To Man,Wright 1956,1956
"Wright, Judith",Woman's Song,Wright 1956,1956
"Anderson, Ethel",Afternoon In The Garden,Thompson et al. 1958,1958
"Anderson, Ethel",Three Satires,Thompson et al. 1958,1958
"Banning, Lex",Ixion,Thompson et al. 1958,1958
"Banning, Lex",Newport Reef,Thompson et al. 1958,1958
"Blight, John",Camp Fever,Thompson et al. 1958,1958
"Blight, John",Cormorants,Thompson et al. 1958,1958
"Blight, John",Death Of A Whale,Thompson et al. 1958,1958
"Blight, John",Mary River Camp,Thompson et al. 1958,1958
"Blight, John",The Hurricane Lantern,Thompson et al. 1958,1958
"Blight, John",Thunderbolt,Thompson et al. 1958,1958
"Brennan, Christopher",Fire In The Heavens,Thompson et al. 1958,1958
"Brennan, Christopher",The Wanderer,Thompson et al. 1958,1958
"Buckley, Vincent",The New Land Of My Family,Thompson et al. 1958,1958
"Buckley, Vincent",Winter Gales,Thompson et al. 1958,1958
"Campbell, David",Dance Of Flame And Shadow,Thompson et al. 1958,1958
"Campbell, David",Spring Hares,Thompson et al. 1958,1958
"Campbell, David",The Stockman,Thompson et al. 1958,1958
"Campbell, David",Windy Gap,Thompson et al. 1958,1958
"Campbell, David",Winter Stock Route,Thompson et al. 1958,1958
"Cato, Nancy",Independence,Thompson et al. 1958,1958
"Cato, Nancy",The Dead Swagman,Thompson et al. 1958,1958
"Cato, Nancy",The Shelter,Thompson et al. 1958,1958
"Cato, Nancy",Tram Through The Parklands,Thompson et al. 1958,1958
"Clarke, Donovan",Blue Prints,Thompson et al. 1958,1958
"Dobson, Rosemary",Chance Met,Thompson et al. 1958,1958
"Dobson, Rosemary",Country Press,Thompson et al. 1958,1958
"Dobson, Rosemary",The Bystander,Thompson et al. 1958,1958
"Dobson, Rosemary",Traveller's Tale,Thompson et al. 1958,1958
"Dunn, Max",I Danced Before I Had Two Feet,Thompson et al. 1958,1958
"Dunn, Max","O, Where Were We Before Time Was",Thompson et al. 1958,1958
"Dunn, Max",So Easily And Unaware,Thompson et al. 1958,1958
"Dunn, Max",The Journey Of John Donne,Thompson et al. 1958,1958
"Dutton, Geoffrey",Theberton Hall,Thompson et al. 1958,1958
"Fairbridge, W.S.",Consecration Of The House,Thompson et al. 1958,1958
"Fairbridge, W.S.",Evening,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",Beginnings,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",Edge,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",Heemskerck Shoals,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",The Face Of The Waters,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",The Hidden Bole,Thompson et al. 1958,1958
"Fitzgerald, Robert D.",Transaction,Thompson et al. 1958,1958
"Gilmore, Mary",Nationality,Thompson et al. 1958,1958
"Gilmore, Mary",Old Botany Bay,Thompson et al. 1958,1958
"Harris, Max",Incident At The Alice,Thompson et al. 1958,1958
"Harris, Max",The Tantanoola Tiger,Thompson et al. 1958,1958
"Hart-Smith, W.",Bathymeter,Thompson et al. 1958,1958
"Hart-Smith, W.",Because The Caterpillar,Thompson et al. 1958,1958
"Hart-Smith, W.",Black Stockman,Thompson et al. 1958,1958
"Holburn, Muir",Qualitative Change,Thompson et al. 1958,1958
"Holt, Edgar",Sonnet From A Sequence,Thompson et al. 1958,1958
"Holt, Edgar",Trio,Thompson et al. 1958,1958
"Hope, A.D.",Australia,Thompson et al. 1958,1958
"Hope, A.D.",Imperial Adam,Thompson et al. 1958,1958
"Hope, A.D.",Standardization,Thompson et al. 1958,1958
"Hope, A.D.",The Death Of The Bird,Thompson et al. 1958,1958
"Hope, A.D.",The Return Of Persephone,Thompson et al. 1958,1958
"Hopegood, Peter",Why Poets Tell The Moon,Thompson et al. 1958,1958
"Howarth, R.G.",Finis,Thompson et al. 1958,1958
"Howarth, R.G.",O Could I Take Love Lightly,Thompson et al. 1958,1958
"Howarth, R.G.",On A Row Of Nuns In A Cemetery,Thompson et al. 1958,1958
"Howarth, R.G.",Poem,Thompson et al. 1958,1958
"Ingamells, Rex",Luis De Torres,Thompson et al. 1958,1958
"Ingamells, Rex",Ship From Thames,Thompson et al. 1958,1958
"Koch, Christopher",Half-Heard,Thompson et al. 1958,1958
"Koch, Christopher",Shelly Beach,Thompson et al. 1958,1958
"Koch, Christopher",Winter Midday,Thompson et al. 1958,1958
"MacCallum, M.B.",The Dream,Thompson et al. 1958,1958
"Mackenzie, Kenneth",Caesura,Thompson et al. 1958,1958
"Mackenzie, Kenneth",Night Duty,Thompson et al. 1958,1958
"Mackenzie, Kenneth",Table-Birds,Thompson et al. 1958,1958
"Mackenzie, Kenneth",The Snake,Thompson et al. 1958,1958
"Mackenzie, Kenneth",Two Trinities,Thompson et al. 1958,1958
"Manifold, J.S.",Sonnet On Nightmares,Thompson et al. 1958,1958
"Manifold, J.S.",The Sirens,Thompson et al. 1958,1958
"Manifold, J.S.","The Tomb Of Lieut. John Learmonth, A.I.F.",Thompson et al. 1958,1958
"Mathew, Ray",Album Piece,Thompson et al. 1958,1958
"Mathew, Ray",Conversation With Mr Broome,Thompson et al. 1958,1958
"Mathew, Ray",Elegy For My Sad-Faced Uncle,Thompson et al. 1958,1958
"Mathew, Ray",Genesis,Thompson et al. 1958,1958
"Mathew, Ray",Not Backward For Heaven,Thompson et al. 1958,1958
"Mathew, Ray",Our Father,Thompson et al. 1958,1958
"Matthews, Harley",Forced Sale,Thompson et al. 1958,1958
"Matthews, Harley",In The Swamp Now,Thompson et al. 1958,1958
"Matthews, Harley",New Order,Thompson et al. 1958,1958
"McAuley, James",Celebration Of Love,Thompson et al. 1958,1958
"McAuley, James",Envoi For A Book Of Poems,Thompson et al. 1958,1958
"McAuley, James",Invocation,Thompson et al. 1958,1958
"McAuley, James",Jesus,Thompson et al. 1958,1958
"McAuley, James",New Guinea,Thompson et al. 1958,1958
"McAuley, James",Terra Australis,Thompson et al. 1958,1958
"McCrae, Hugh",Camden Town,Thompson et al. 1958,1958
"McCrae, Hugh",Fragment,Thompson et al. 1958,1958
"McCrae, Hugh",Joan Of Arc (Introduction),Thompson et al. 1958,1958
"McCrae, Hugh",Rake's Song,Thompson et al. 1958,1958
"McCrae, Hugh",Song Of The Rain,Thompson et al. 1958,1958
"McCuaig, Ronald",Music In The Air,Thompson et al. 1958,1958
"McCuaig, Ronald",No Sale,Thompson et al. 1958,1958
"McCuaig, Ronald",The Commercial Traveller's Wife,Thompson et al. 1958,1958
"McCuaig, Ronald",The Hungry Moths,Thompson et al. 1958,1958
"McDonald, Nan",The Barren Ground,Thompson et al. 1958,1958
"McGuire, D.P.",Wet Afternoon,Thompson et al. 1958,1958
"McKellar, J.A.R.",Newton,Thompson et al. 1958,1958
"McKellar, J.A.R.",Oxford Street: The Five Ways,Thompson et al. 1958,1958
"McKellar, J.A.R.",Res Publica,Thompson et al. 1958,1958
"Moll, Ernest G.",After Reading A Book On Abnormal Psychology,Thompson et al. 1958,1958
"Moll, Ernest G.",The Dark Guest,Thompson et al. 1958,1958
"Moore, T. Inglis",Star Drill,Thompson et al. 1958,1958
"Mudie, Ian","Sitting Room, Strzelecki Homestead",Thompson et al. 1958,1958
"Mudie, Ian",They'll Tell You About Me,Thompson et al. 1958,1958
"Mudie, Ian",This Land,Thompson et al. 1958,1958
"Murphy, R.D.",Park From The Hospital,Thompson et al. 1958,1958
"Murphy, R.D.",Speak To Strangers,Thompson et al. 1958,1958
"Neilson, John Shaw",Love's Coming,Thompson et al. 1958,1958
"Neilson, John Shaw",May,Thompson et al. 1958,1958
"Neilson, John Shaw",The Moon Was Seven Days Down,Thompson et al. 1958,1958
"Neilson, John Shaw",The Orange Tree,Thompson et al. 1958,1958
"Neilson, John Shaw",The Sundowner,Thompson et al. 1958,1958
"O'Dowd, Bernard",Australia,Thompson et al. 1958,1958
"Philip, John",Manly Ferry,Thompson et al. 1958,1958
"Picot, James",Elegy For Liebe,Thompson et al. 1958,1958
"Porter, Hal",Four Winds,Thompson et al. 1958,1958
"Porter, Hal","Hobart Town, Van Diemen's Land (June 11, 1837)",Thompson et al. 1958,1958
"Porter, Hal",The Sheep,Thompson et al. 1958,1958
"Quinn, John",Argument,Thompson et al. 1958,1958
"Riddell, Elizabeth",Country Tunes,Thompson et al. 1958,1958
"Riddell, Elizabeth",The Island Graves,Thompson et al. 1958,1958
"Riddell, Elizabeth",The Letter,Thompson et al. 1958,1958
"Riddell, Elizabeth",The Old Sailor,Thompson et al. 1958,1958
"Robinson, Roland",Drifting Dug-Out,Thompson et al. 1958,1958
"Robinson, Roland",I Had No Human Speech,Thompson et al. 1958,1958
"Robinson, Roland",Swift,Thompson et al. 1958,1958
"Robinson, Roland",The Rock-Lily's Pale Spray,Thompson et al. 1958,1958
"Robinson, Roland",Tumult Of The Swans,Thompson et al. 1958,1958
"Rolls, Eric",Death Song Of A Mad Bush Shepherd,Thompson et al. 1958,1958
"Rolls, Eric",Sheaf-Tosser,Thompson et al. 1958,1958
"Rowbotham, David",Apres-Midi,Thompson et al. 1958,1958
"Rowbotham, David",Nine O'clock,Thompson et al. 1958,1958
"Rowbotham, David",The Rock ,Thompson et al. 1958,1958
"Rowland, J.R.",A Landscape,Thompson et al. 1958,1958
"Rowland, J.R.",Cairo Hotel,Thompson et al. 1958,1958
"Rowland, J.R.",Song,Thompson et al. 1958,1958
"Shewcroft, Joyce",Executioners,Thompson et al. 1958,1958
"Shewcroft, Joyce",Lorelei And Pimp,Thompson et al. 1958,1958
"Slessor, Kenneth",Beach Burial,Thompson et al. 1958,1958
"Slessor, Kenneth",Captain Dobbin,Thompson et al. 1958,1958
"Slessor, Kenneth",Five Bells,Thompson et al. 1958,1958
"Slessor, Kenneth",Sleep,Thompson et al. 1958,1958
"Slessor, Kenneth",South Country,Thompson et al. 1958,1958
"Slessor, Kenneth",The Nabob,Thompson et al. 1958,1958
"Smith, Vivian",Bedlam Hills,Thompson et al. 1958,1958
"Smith, Vivian","Portuguese Laurel, Flowering",Thompson et al. 1958,1958
"Smith, Vivian",Sea Lion,Thompson et al. 1958,1958
"Stewart, Douglas",Flying Ants,Thompson et al. 1958,1958
"Stewart, Douglas",Heaven Is A Busy Place,Thompson et al. 1958,1958
"Stewart, Douglas",Terra Australis,Thompson et al. 1958,1958
"Stewart, Douglas",The Dosser In Springtime,Thompson et al. 1958,1958
"Stewart, Douglas",The Silkworms,Thompson et al. 1958,1958
"Thiele, Colin",The Mushroomer,Thompson et al. 1958,1958
"Thompson, John",Married Quarrel,Thompson et al. 1958,1958
"Thompson, John",The Conqueror,Thompson et al. 1958,1958
"Thompson, John",The Traveller,Thompson et al. 1958,1958
"Thwaites, Michael",Flying To New Zealand,Thompson et al. 1958,1958
"Thwaites, Michael",Milton Blind,Thompson et al. 1958,1958
"Thwaites, Michael",The Gull,Thompson et al. 1958,1958
"Turnbull, Clive","Do This For Me, Then",Thompson et al. 1958,1958
"Webb, Francis",For My Grandfather,Thompson et al. 1958,1958
"Wright, Judith",Birds,Thompson et al. 1958,1958
"Wright, Judith",Brother And Sisters,Thompson et al. 1958,1958
"Wright, Judith",Bullocky,Thompson et al. 1958,1958
"Wright, Judith",South Of My Days' Circle,Thompson et al. 1958,1958
"Wright, Judith",The Bull,Thompson et al. 1958,1958
"Wright, Judith",The Cedars,Thompson et al. 1958,1958
"Wright, Judith",The Cicadas,Thompson et al. 1958,1958
"Wright, Judith",The Lost Man,Thompson et al. 1958,1958
"Wright, Judith",Train Journey,Thompson et al. 1958,1958
"Wright, Judith",Woman To Man,Thompson et al. 1958,1958
"Anderson, Ethel",Migrants,Wright 1968,1968
"Baylebridge, William",(From A Wreath) When Tongues Will Tax Me In The Public Ear,Wright 1968,1968
"Baylebridge, William",(From Life's Testament) All That I Am To Earth Belongs,Wright 1968,1968
"Baylebridge, William","(From Life's Testament) I Worshipped, When My Veins Were Fresh",Wright 1968,1968
"Baylebridge, William",(From Life's Testament) Into Ethereal Meads,Wright 1968,1968
"Baylebridge, William","(From Life's Testament) The Brain, The Blood, The Busy Thews",Wright 1968,1968
"Baylebridge, William","(From Love Redeemed) The Utile Canons, The Set Codes Of Priests",Wright 1968,1968
"Baylebridge, William",(From Love Redeemed) Who Questions If The Punctual Sun Unbars,Wright 1968,1968
"Baylebridge, William","(From Moreton Miles) Wherever I Go, I Do No Wrong",Wright 1968,1968
"Baylebridge, William",Sextains: The Master-Foe,Wright 1968,1968
"Baylebridge, William",Sextains: The Troubled Unquickening,Wright 1968,1968
"Baylebridge, William",The Ampler Circumscription,Wright 1968,1968
"Beaver, Bruce",Third Degree,Wright 1968,1968
"Blight, John",A Cup Of Sea-Water,Wright 1968,1968
"Blight, John",Becalmed,Wright 1968,1968
"Blight, John",Crab,Wright 1968,1968
"Blight, John",Sea-Level,Wright 1968,1968
"Blight, John",Stonefish And Starfish,Wright 1968,1968
"Blight, John",The Cat-O'-Nine-Tails,Wright 1968,1968
"Boake, Barcroft Henry",Where The Dead Men Lie,Wright 1968,1968
"Brennan, Christopher",How Old Is My Heart?,Wright 1968,1968
"Brennan, Christopher","I Said, This Misery Must End",Wright 1968,1968
"Brennan, Christopher",Let Us Go Down,Wright 1968,1968
"Brennan, Christopher",My Heart Was Wandering,Wright 1968,1968
"Brennan, Christopher",O Desolate Eves,Wright 1968,1968
"Brennan, Christopher",Sweet Silence After Bells,Wright 1968,1968
"Brennan, Christopher",The Years That Go To Make Me Man,Wright 1968,1968
"Brennan, Christopher",We Woke Together,Wright 1968,1968
"Brennan, Christopher",What Do I Know?,Wright 1968,1968
"Buckley, Vincent",Father And Son,Wright 1968,1968
"Buckley, Vincent",Late Tutorial,Wright 1968,1968
"Buckley, Vincent",No New Thing,Wright 1968,1968
"Buckley, Vincent",Secret Policeman,Wright 1968,1968
"Campbell, David",Among The Farms,Wright 1968,1968
"Campbell, David",Droving,Wright 1968,1968
"Campbell, David",Heart Of Light,Wright 1968,1968
"Campbell, David",Men In Green,Wright 1968,1968
"Campbell, David",Mothers And Daughters,Wright 1968,1968
"Campbell, David",Night Sowing,Wright 1968,1968
"Campbell, David",Soldier's Song,Wright 1968,1968
"Campbell, David",The Monaro,Wright 1968,1968
"Dawe, Bruce",And A Good Friday Was Had By All,Wright 1968,1968
"Dawe, Bruce",Freewill Offering,Wright 1968,1968
"Dawe, Bruce",The City: Midnight,Wright 1968,1968
"Dawe, Bruce",To My Typewriter,Wright 1968,1968
"Deniehy, Daniel Henry",To His Wife,Wright 1968,1968
"Devaney, James",Mortality,Wright 1968,1968
"Devaney, James",Winter Westerlies,Wright 1968,1968
"Dobson, Rosemary",In My End Is My Beginning,Wright 1968,1968
"Dobson, Rosemary",Jack,Wright 1968,1968
"Dobson, Rosemary",The Devil And The Angel (1),Wright 1968,1968
"Dobson, Rosemary",The Edge,Wright 1968,1968
"Dobson, Rosemary",The Missal,Wright 1968,1968
"Dunn, Max",Flower Of Exile,Wright 1968,1968
"Dunn, Max",I Danced Before I Had Two Feet,Wright 1968,1968
"Dutton, Geoffrey",A Prisoner Freed,Wright 1968,1968
"Dutton, Geoffrey",January,Wright 1968,1968
"Dutton, Geoffrey",Nightflight And Sunrise,Wright 1968,1968
"Dyson, Will",Death Is But Death,Wright 1968,1968
"Finnin, Mary",Sarah Lorton,Wright 1968,1968
"Finnin, Mary",Three Trees At Solstice,Wright 1968,1968
"Fitzgerald, Robert D.",1918-1941,Wright 1968,1968
"Fitzgerald, Robert D.",Bog And Candle,Wright 1968,1968
"Fitzgerald, Robert D.",Edge,Wright 1968,1968
"Fitzgerald, Robert D.",From Copernicus: The Cock That Crowed This Dawn Up,Wright 1968,1968
"Fitzgerald, Robert D.",Song In Autumn,Wright 1968,1968
"Fitzgerald, Robert D.",The Face Of The Waters,Wright 1968,1968
"Fitzgerald, Robert D.",This Between Us…,Wright 1968,1968
"Fitzgerald, Robert D.",Traditional Time,Wright 1968,1968
"Fullerton, Mary",A Dream,Wright 1968,1968
"Fullerton, Mary",Adventure,Wright 1968,1968
"Fullerton, Mary",Independence,Wright 1968,1968
"Fullerton, Mary",Lovers,Wright 1968,1968
"Fullerton, Mary",Passivity,Wright 1968,1968
"Fullerton, Mary",Unit,Wright 1968,1968
"Gay, William",The Crazy World,Wright 1968,1968
"Gellert, Leon",Before Action,Wright 1968,1968
"Gellert, Leon",In The Trench,Wright 1968,1968
"Gellert, Leon",These Men,Wright 1968,1968
"Geyer, Francis (Gwen Harwood)",Monday,Wright 1968,1968
"Gilmore, Mary","Boolee, The Bringer Of Life",Wright 1968,1968
"Gilmore, Mary",Dedicatory,Wright 1968,1968
"Gilmore, Mary",Nationality,Wright 1968,1968
"Gilmore, Mary",Of Wonder,Wright 1968,1968
"Gilmore, Mary",The Baying Hounds,Wright 1968,1968
"Gilmore, Mary",The Dice Were Loaded,Wright 1968,1968
"Gilmore, Mary",The Myall In Prison,Wright 1968,1968
"Gilmore, Mary",The Tenancy,Wright 1968,1968
"Gilmore, Mary",The Waradgery Tribe,Wright 1968,1968
"Hall, Rodney",Flight,Wright 1968,1968
"Harpur, Charles",A Midsummer Noon In The Australian Forest,Wright 1968,1968
"Harris, Max",Lullaby,Wright 1968,1968
"Harris, Max",Martin Buber In The Pub,Wright 1968,1968
"Hart-Smith, William",Baiamai's Never-Failing Stream,Wright 1968,1968
"Hart-Smith, William",Boomerang,Wright 1968,1968
"Hart-Smith, William",Columbus Goes West,Wright 1968,1968
"Hart-Smith, William",Drama,Wright 1968,1968
"Hart-Smith, William",When You Touch,Wright 1968,1968
"Harwood, Gwen",Home Of Mercy,Wright 1968,1968
"Harwood, Gwen",O Could One Write As One Makes Love,Wright 1968,1968
"Harwood, Gwen",Prize-Giving,Wright 1968,1968
"Higham, Charles",Rushcutter's Bay,Wright 1968,1968
"Holt, Edgar",Two Sonnets From A Sequence,Wright 1968,1968
"Hope, A.D.",A Bidding Grace,Wright 1968,1968
"Hope, A.D.",Australia,Wright 1968,1968
"Hope, A.D.",Crossing The Frontier,Wright 1968,1968
"Hope, A.D.",Soledades Of The Sun And Moon,Wright 1968,1968
"Hope, A.D.",Standardization,Wright 1968,1968
"Hope, A.D.",The Death Of The Bird,Wright 1968,1968
"Hopegood, Peter",Dithyramb In Retrospect,Wright 1968,1968
"Hopegood, Peter",Free Martin,Wright 1968,1968
"Ingamells, Rex",Sea-Chronicles,Wright 1968,1968
"Irvin, Eric",Brother Ass,Wright 1968,1968
"Irvin, Eric",Christmas 1942,Wright 1968,1968
"Irvin, Eric",Midnight Patrol,Wright 1968,1968
"Jones, Evan",A Voice From Inside,Wright 1968,1968
"Jones, Evan",Noah's Song,Wright 1968,1968
"Keesing, Nancy",Old Men,Wright 1968,1968
"Kendall, Henry",Prefatory Sonnet,Wright 1968,1968
"Langley, Eve",Australia,Wright 1968,1968
"Langley, Eve",Native-Born,Wright 1968,1968
"Lawson, Henry",The Roaring Days,Wright 1968,1968
"Lehmann, Geoffrey",The Pigs,Wright 1968,1968
"Mackenzie, Kenneth",Caesura,Wright 1968,1968
"Mackenzie, Kenneth",Confession,Wright 1968,1968
"Mackenzie, Kenneth",Legerdemain,Wright 1968,1968
"Mackenzie, Kenneth",The Snake,Wright 1968,1968
"Manifold, J.S.",Fife Tune,Wright 1968,1968
"Manifold, J.S.",Suburban Lullaby,Wright 1968,1968
"Manifold, J.S.","The Tomb Of Lieut. John Learmonth, A.I.F.",Wright 1968,1968
"Mann, Leonard",Meditation In Winter,Wright 1968,1968
"Mann, Leonard",The Earth,Wright 1968,1968
"Mathew, Ray",At A Time,Wright 1968,1968
"Mathew, Ray",The Poems Come Easier,Wright 1968,1968
"Mathew, Ray",Young Man's Fancy,Wright 1968,1968
"Maurice, Furnley",The Gully (Excerpts),Wright 1968,1968
"Maurice, Furnley",The Victoria Markets Recollected In Tranquillity,Wright 1968,1968
"Maurice, Furnley",To God: From The Warring Nations (Excepts),Wright 1968,1968
"McAuley, J.P.",Missa Papae Marcelli,Wright 1968,1968
"McAuley, J.P.",New Guinea,Wright 1968,1968
"McAuley, J.P.",New Guinea Lament,Wright 1968,1968
"McAuley, J.P.",The Blue Horses,Wright 1968,1968
"McAuley, J.P.",The Death Of Chiron,Wright 1968,1968
"McAuley, J.P.",To A Dead Bird Of Paradise,Wright 1968,1968
"McAuley, J.P.",Vespers,Wright 1968,1968
"McCrae, Hugh",Ambuscade,Wright 1968,1968
"McCrae, Hugh",Colombine,Wright 1968,1968
"McCrae, Hugh",Enigma,Wright 1968,1968
"McCrae, Hugh",Fragment,Wright 1968,1968
"McCrae, Hugh",June Morning,Wright 1968,1968
"McCrae, Hugh",Morning,Wright 1968,1968
"McCrae, Hugh",Song Of The Rain,Wright 1968,1968
"McCrae, Hugh",The End Of Desire,Wright 1968,1968
"McCuaig, Ronald",Betty By The Sea,Wright 1968,1968
"McCuaig, Ronald",Love Me And Never Leave Me,Wright 1968,1968
"McDonald, Nan",The Hawk,Wright 1968,1968
"McDonald, Nan",Wet Summer: Botanic Gardens,Wright 1968,1968
"McKellar, J.A.R.",Twelve O'clock Boat,Wright 1968,1968
"Moll, Ernest",Beware The Cuckoo,Wright 1968,1968
"Moll, Ernest",On Having Grown Old,Wright 1968,1968
"Mudie, Ian",The North-Bound Rider,Wright 1968,1968
"Mudie, Ian",Underground,Wright 1968,1968
"Murray, Les",The Burning Truck,Wright 1968,1968
"Neilson, John Shaw",Break Of Day,Wright 1968,1968
"Neilson, John Shaw",I Spoke To The Violet,Wright 1968,1968
"Neilson, John Shaw",Schoolgirls Hastening,Wright 1968,1968
"Neilson, John Shaw",Song Be Delicate,Wright 1968,1968
"Neilson, John Shaw",Stony Town,Wright 1968,1968
"Neilson, John Shaw",The Orange Tree,Wright 1968,1968
"Neilson, John Shaw",Tis The White Plum Tree,Wright 1968,1968
"Neilson, John Shaw",To A Blue Flower,Wright 1968,1968
"O'Dowd, Bernard",Love And Sacrifice,Wright 1968,1968
"Picot, James",Do You Not Hear?,Wright 1968,1968
"Picot, James",Finale,Wright 1968,1968
"Picot, James",To The Rosella In The Poinsettia Tree,Wright 1968,1968
"Quinn, John",A Foxhole For The Night,Wright 1968,1968
"Quinn, Roderic",The Fisher,Wright 1968,1968
"Riddell, Elizabeth",Country Tune,Wright 1968,1968
"Riddell, Elizabeth",Forebears,Wright 1968,1968
"Riddell, Elizabeth",News Of A Baby,Wright 1968,1968
"Robinson, Roland",Casuarina,Wright 1968,1968
"Robinson, Roland",I Breathed Into The Ash,Wright 1968,1968
"Robinson, Roland",The Desert (6),Wright 1968,1968
"Robinson, Roland",The Rock-Lily's Pale Spray,Wright 1968,1968
"Rowbotham, David",Little White Fox,Wright 1968,1968
"Rowbotham, David",Mullabinda,Wright 1968,1968
"Rowbotham, David",The Moment,Wright 1968,1968
"Rowland, J.R.",At Noosa,Wright 1968,1968
"Rowland, J.R.",Seven Days,Wright 1968,1968
"Shapcott, Thomas",Enemies,Wright 1968,1968
"Shapcott, Thomas",Traditional Song,Wright 1968,1968
"Simpson, R.A.",Park Orator,Wright 1968,1968
"Simpson, R.A.",The Death Of The Devil,Wright 1968,1968
"Slessor, Kenneth",Beach Burial,Wright 1968,1968
"Slessor, Kenneth",Crow Country,Wright 1968,1968
"Slessor, Kenneth",Earth-Visitors,Wright 1968,1968
"Slessor, Kenneth",Five Bells,Wright 1968,1968
"Slessor, Kenneth",Five Visions Of Captain Cook,Wright 1968,1968
"Slessor, Kenneth",Gulliver,Wright 1968,1968
"Slessor, Kenneth",Sleep,Wright 1968,1968
"Slessor, Kenneth",Stars,Wright 1968,1968
"Smith, Vivian","At An Exhibition Of Historical Paintings, Hobart",Wright 1968,1968
"Smith, Vivian",Bedlam Hills,Wright 1968,1968
"Stewart, Douglas",Helmet Orchid,Wright 1968,1968
"Stewart, Douglas",Old Iron,Wright 1968,1968
"Stewart, Douglas",Terra Australis,Wright 1968,1968
"Stewart, Douglas",The Silkworms,Wright 1968,1968
"Stewart, Douglas",The Sunflowers,Wright 1968,1968
"Stewart, Harold",Dialogue Of The Way,Wright 1968,1968
"Stow, Randolph",At Sandalwood,Wright 1968,1968
"Stow, Randolph",Landscapes,Wright 1968,1968
"Stow, Randolph",Strange Fruit,Wright 1968,1968
"Stow, Randolph",The Land's Meaning,Wright 1968,1968
"Thiele, Colin",Radiation Victim,Wright 1968,1968
"Thiele, Colin",TV Viewer In A Midnight Café,Wright 1968,1968
"Thompson, John",Letter To A Friend,Wright 1968,1968
"Vrepont, Brian",The Bomber,Wright 1968,1968
"Vrepont, Brian",The Net-Menders,Wright 1968,1968
"Walker, Kath","Understand, Old One",Wright 1968,1968
"Wallace-Crabbe, Chris",Abandoned Cars,Wright 1968,1968
"Wallace-Crabbe, Chris",Going To Sleep,Wright 1968,1968
"Webb, Francis",(From A View Of Montreal): I. Cartier At St Malo,Wright 1968,1968
"Webb, Francis",Five Days Old,Wright 1968,1968
"Webb, Francis",For My Grandfather,Wright 1968,1968
"Webb, Francis",Harry,Wright 1968,1968
"Webb, Francis",Laid Off,Wright 1968,1968
"Webb, Francis",Morgan's Country,Wright 1968,1968
"Webb, Francis",The Gunner,Wright 1968,1968
"Wright, Judith",Bullocky,Wright 1968,1968
"Wright, Judith",Legend,Wright 1968,1968
"Wright, Judith",The Ancestors,Wright 1968,1968
"Wright, Judith",The Company Of Lovers,Wright 1968,1968
"Wright, Judith",The Harp And The King,Wright 1968,1968
"Wright, Judith",Woman To Man,Wright 1968,1968
"Wright, Judith",Woman's Song,Wright 1968,1968
"Adamson, Robert",Toward abstraction/possibly a gull's wing,Heseltine 1972,1972
"Auchterlonie, Dorothy",Apopemptic Hymn,Heseltine 1972,1972
"Baylebridge, William",On Moral Laws,Heseltine 1972,1972
"Beaver, Bruce",Exit,Heseltine 1972,1972
"Beaver, Bruce",Holiday,Heseltine 1972,1972
"Beaver, Bruce","Letters to Live Poets, I",Heseltine 1972,1972
"Beaver, Bruce",Sittings by Appointment Only,Heseltine 1972,1972
"Blight, John",Death of a Whale,Heseltine 1972,1972
"Blight, John",Helmet Shell,Heseltine 1972,1972
"Blight, John",Lamprey,Heseltine 1972,1972
"Blight, John",Mud,Heseltine 1972,1972
"Boake, Barcroft",An Allegory,Heseltine 1972,1972
"Boake, Barcroft",Where the Dead Men Lie,Heseltine 1972,1972
"Breen, B.A.",Fragments of O'Flaherty,Heseltine 1972,1972
"Brennan, Christopher",Epilogues,Heseltine 1972,1972
"Brennan, Christopher",The Wanderer,Heseltine 1972,1972
"Brereton, John Le Gay",The Silver Gull,Heseltine 1972,1972
"Buckley, Vincent",Burning the Effects,Heseltine 1972,1972
"Buckley, Vincent",Colloquy and Resolution,Heseltine 1972,1972
"Buckley, Vincent",Fellow Traveller,Heseltine 1972,1972
"Buckley, Vincent",Late Tutorial,Heseltine 1972,1972
"Buckley, Vincent",Places,Heseltine 1972,1972
"Buckley, Vincent",Youth Leader,Heseltine 1972,1972
"Buckmaster, Charles",To This Place,Heseltine 1972,1972
"Campbell, David",Droving,Heseltine 1972,1972
"Campbell, David",Men in Green,Heseltine 1972,1972
"Campbell, David",Night Sowing,Heseltine 1972,1972
"Campbell, David",Under Wattles,Heseltine 1972,1972
"Campbell, David",Windy Gap,Heseltine 1972,1972
"Campbell, David",Windy Nights,Heseltine 1972,1972
"Cato, Nancy",Moon and Pear-Tree,Heseltine 1972,1972
"Christesen, C.B.",The Desecrated Valley,Heseltine 1972,1972
"Collinson, Laurence",Hand in Hand,Heseltine 1972,1972
"Couper, John",A Sydney Scot When the Boat Comes In,Heseltine 1972,1972
"Couper, John",For You Angela,Heseltine 1972,1972
"Craig, Alexander",Sea at Portsea,Heseltine 1972,1972
