creator	translator	title	genre	pages	volume	issue	date	journal title	journal subtitle	issue name	journal editor	publisher	journal location	issue length (pp)	issue height (cm)	issue width (cm)
"Yeats, William Butler"		Fallen Majesty	poetry	68-68	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Yeats, William Butler"		Love and the Bird	poetry	69-69	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Yeats, William Butler"		The Realists	poetry	70-70	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Reed, John"		Sangar: To Lincoln Steffens	poetry	71-74	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Sterling, George"		A Legend of the Dove	poetry	75-75	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Sterling, George"		At the Grand Canyon	poetry	76-76	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Sterling, George"		Kindred	poetry	77-77	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Smith, Clark Ashton"		Remembered Light	poetry	78-79	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Smith, Clark Ashton"		Sorrowing of Winds	poetry	80-80	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Corbin, Alice"		America	poetry	81-81	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Corbin, Alice"		Symbols	poetry	82-82	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Corbin, Alice"		The Star	poetry	82-82	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
